mean,std,skew,target
19.720577,43.247585,9.720148,1
26.46531,67.741325,8.350982,1
29.550137,87.12341,11.191817,1
40.410233,82.32283,6.2920346,1
44.766876,91.60584,7.4054546,0
33.724884,58.264816,4.3197103,1
21.219812,75.86483,13.9969845,1
20.253231,59.19593,9.941815,0
18.439756,45.2468,11.433999,1
19.967918,73.43954,13.69005,0
23.624512,66.97371,11.785793,0
15.460359,61.172966,9.718155,0
32.239086,66.05788,8.6699,1
48.264805,88.99027,7.4126115,1
21.50051,41.983177,8.913485,1
35.101658,99.42568,9.410555,0
32.76014,80.349174,6.7517333,1
29.820223,69.97424,7.096193,1
17.841808,66.15751,17.529083,0
16.163858,53.99,17.247585,0
24.549814,56.326797,10.095955,0
21.446297,71.20648,12.922318,1
20.657677,57.38976,9.185225,1
33.56707,75.61721,8.695274,0
13.244485,33.700844,14.205462,0
41.92419,87.34812,7.5592804,0
15.944409,53.376007,16.506636,0
49.517895,101.06983,5.2986226,1
7.3637652,29.330887,12.331364,0
15.272692,31.10339,12.642126,1
15.272692,31.10339,12.642126,1
39.80198,75.3638,6.6950564,1
31.993034,67.20497,8.333245,0
16.711184,43.93329,13.887525,0
52.546204,104.469444,7.387047,0
16.571009,40.208755,9.12386,1
42.721462,94.31541,8.003501,0
21.178772,55.437305,8.634493,1
21.494062,66.25123,15.004486,0
24.839848,72.8222,10.67984,1
24.7334,68.75361,8.121503,1
39.026073,98.679886,8.721147,1
14.673844,31.226027,11.470699,1
18.628716,47.72042,10.923438,0
33.567234,68.03654,8.920008,1
6.232656,27.499392,15.929189,1
36.49656,87.509125,7.949522,0
37.012035,77.4548,8.302368,0
28.406185,67.882256,8.831022,0
11.915866,37.127594,13.227004,1
23.863234,68.783134,10.167645,1
14.587464,41.370728,17.312428,1
41.20299,98.23714,10.070205,1
20.216536,55.78003,12.06443,1
23.792564,69.67503,11.933361,1
24.193483,78.39596,11.215259,1
23.792564,69.67503,11.933361,0
44.80107,70.9719,5.657158,1
19.379435,53.89349,9.820419,0
14.06218,36.74192,9.276474,1
23.209087,71.47153,9.397996,0
28.55529,87.52352,8.519549,1
11.234849,50.07972,14.559134,0
9.858429,51.904083,23.889524,0
17.704596,56.716434,10.47409,1
22.058681,76.58569,14.591231,0
28.715822,85.367546,9.095631,0
18.177666,57.19044,11.882085,1
23.307173,55.949795,9.565542,1
37.883858,88.817924,10.321153,0
18.91944,65.46499,16.235773,0
15.06728,38.413803,11.072305,1
27.071732,85.38215,9.717256,1
14.972435,42.586037,13.926591,1
20.41624,61.166622,11.049635,0
36.993637,78.10944,5.3879695,0
21.208862,64.96151,10.501634,0
45.618973,102.57203,7.6361456,0
36.190346,88.37018,9.751555,0
22.799158,62.25204,9.457297,0
21.219812,75.86483,13.9969845,0
17.363205,64.879265,10.710261,0
10.04453,37.833683,13.231015,0
20.954554,53.88754,10.988106,0
16.392988,38.665108,11.40029,0
7.09049,30.836746,16.175314,1
22.41119,59.603878,12.474101,0
21.598017,59.737423,9.731684,1
15.810685,43.40962,19.886074,1
19.809727,72.86029,9.608353,0
21.726603,60.148624,15.000987,0
6.343345,26.360857,15.127066,0
19.421503,56.648113,9.958331,0
18.01557,64.62128,16.208658,1
23.169933,67.1617,9.992397,1
42.979027,106.42915,8.946083,1
30.27589,79.94451,10.250619,0
22.505869,62.222466,8.586935,1
20.384089,61.944225,14.692227,1
22.594683,67.466484,13.082545,0
